地域,自然資源,歴史資源,現代資源,資源総数,自然資源_割合,歴史資源_割合,現代資源_割合,HHI指数
北海道,103,18,27,148,0.6959459459459459,0.12162162162162163,0.18243243243243243,0.5324141709276844
東北,140,92,58,290,0.4827586206896552,0.31724137931034485,0.2,0.37369797859690845
北関東,74,47,29,150,0.49333333333333335,0.31333333333333335,0.19333333333333333,0.3789333333333334
北陸,88,86,43,217,0.4055299539170507,0.39631336405529954,0.19815668202764977,0.3607848966850008
南関東,45,68,38,151,0.2980132450331126,0.4503311258278146,0.25165562913907286,0.3549405727818956
東京,49,38,92,179,0.2737430167597765,0.2122905027932961,0.5139664804469274,0.3841640398239755
東海,100,103,48,251,0.398406374501992,0.4103585657370518,0.19123505976095617,0.3636926397993683
中国,70,126,66,262,0.26717557251908397,0.48091603053435117,0.25190839694656486,0.3661208554280054
南関西,46,167,55,268,0.17164179104477612,0.6231343283582089,0.20522388059701493,0.4598741367787926
四国,44,63,24,131,0.33587786259541985,0.48091603053435117,0.183206106870229,0.3776586446011305
九州,180,126,91,397,0.4534005037783375,0.31738035264483627,0.22921914357682618,0.3588437208535045
北関西,30,176,43,249,0.12048192771084337,0.7068273092369478,0.17269076305220885,0.5439428396316188
